open,high,low,close,volume
0.8258,0.8302,0.7732,0.785,11498080.04
0.785,0.8018,0.7574,0.7913,8212141.07
0.7913,0.8133,0.783,0.8004,3905479.3
0.8004,0.8082,0.7928,0.7966,3776752.68
0.7966,0.8334,0.7947,0.8228,10045468.03
0.8228,0.8314,0.8054,0.8097,8457919.12
0.8097,0.8215,0.8001,0.8081,5036470.83
0.8081,0.8275,0.8002,0.8149,4809361.62
0.8149,0.8166,0.7938,0.8069,5114568.17
0.8069,0.8266,0.8007,0.8208,3871773.21
0.8208,0.8353,0.8117,0.8131,4825841.55
0.8131,0.8172,0.8021,0.8055,5448809.76
0.8055,0.8065,0.7815,0.7961,5515724.28
0.7961,0.9105,0.7921,0.8209,27029564.38
0.8209,0.8545,0.7944,0.8535,11944072.04
0.8535,0.8791,0.8228,0.8731,13268401.01
0.8731,0.9517,0.8651,0.9258,19154159.26
0.9258,0.9443,0.9037,0.9399,8495745.48
0.9399,0.9557,0.9189,0.925,11752793.46
0.925,0.9366,0.9031,0.9074,6123829.9
0.9074,0.9546,0.9062,0.9443,8234031.82
0.9443,0.9558,0.9258,0.9287,5877225.68
0.9287,0.9498,0.9279,0.9409,3119778.64
0.9409,0.9725,0.9212,0.9289,6248397.59
0.9289,0.9638,0.914,0.9629,4088381.1
0.9629,0.9836,0.9497,0.9704,7527092.36
0.9704,0.9748,0.9268,0.9277,4865115.88
0.9277,0.9428,0.9272,0.9331,4725855.29
0.9331,0.9359,0.9192,0.9231,2323307.02
0.9231,0.9381,0.9156,0.9355,3854327.69
0.9355,0.9429,0.9269,0.9394,5811273.26
0.9394,0.955,0.9375,0.9464,4459054.47
0.9464,0.9684,0.9424,0.9563,7024936.15
0.9563,1.0274,0.9535,1.0005,14262034.57
1.0005,1.0069,0.9762,0.9809,8202742.16
0.9809,1.0109,0.9799,0.9891,5363729.32
0.9891,0.9939,0.958,0.9607,5850619.74
0.9607,0.9738,0.9472,0.9501,4360141.6
0.9501,0.9707,0.9297,0.9412,5436708.51
0.9412,0.9621,0.9313,0.9561,4478182.3
0.9561,0.9717,0.9531,0.9645,3681104.27
0.9645,0.9871,0.9637,0.9783,3486685.55
0.9783,0.9978,0.9771,0.9916,2870893.97
0.9916,0.9989,0.9804,0.9856,3496315.48
0.9856,0.99,0.9731,0.9821,2154369.85
0.9821,1.0028,0.9765,0.9853,4208067.53
0.9853,0.9909,0.9718,0.9741,2005966.55
0.9741,0.9817,0.9486,0.9506,3073813.54
0.9506,0.9884,0.9505,0.9728,3211707.61
0.9728,0.977,0.959,0.9682,2922726.01
0.9682,0.9721,0.9542,0.9589,2565339.54
0.9589,0.9682,0.9522,0.9646,2155479.38
0.9646,0.9654,0.934,0.9423,3727015.82
0.9423,0.9447,0.9343,0.9412,2720876.33
0.9412,0.9481,0.9358,0.9389,1801456.51
0.9389,0.9605,0.9381,0.9497,2964217.04
0.9497,0.9552,0.9376,0.9499,2743424.39
0.9499,0.9701,0.9471,0.9593,4798675.78
0.9593,0.9613,0.95,0.9524,2741926.35
0.9524,0.9526,0.9241,0.9296,4132283.76
0.9296,0.9414,0.9228,0.9306,3451645.46
0.9306,0.9366,0.9022,0.9179,5382857.37
0.9179,0.9418,0.9162,0.9323,4000642.2
0.9323,0.9366,0.9003,0.902,3127172.61
0.902,0.9046,0.8858,0.894,4349133.25
0.894,0.9013,0.8865,0.8938,2208883.53
0.8938,0.9101,0.8888,0.903,1923082.18
0.903,0.9105,0.9,0.9075,1421343.71
0.9075,0.9237,0.907,0.9205,2798332.21
0.9205,0.9285,0.9041,0.9074,2643295.76
0.9074,0.9153,0.9045,0.9064,742164.95
0.9064,0.9207,0.8162,0.8297,25822285.19
0.8297,0.8693,0.8269,0.8602,9600508.93
0.8602,0.8679,0.8471,0.8515,4449650.04
0.8515,0.8609,0.8499,0.8525,3470758.97
0.8525,0.8697,0.8511,0.8654,2366670.57
0.8654,0.882,0.8647,0.8747,3265292.83
0.8747,0.8779,0.8674,0.8725,1899630.51
0.8725,0.8779,0.87,0.8751,2714363.09
0.8751,0.8753,0.8651,0.8718,3883515.41
0.8718,0.8889,0.8708,0.8777,6460441.27
0.8777,0.8839,0.871,0.8823,5802259.8
0.8823,0.8897,0.8761,0.8793,4537050.68
0.8793,0.8809,0.8597,0.869,2595772.88
0.869,0.8974,0.8678,0.8727,6228001.22
0.8727,0.8898,0.8598,0.8766,4092415.97
0.8766,0.8843,0.8444,0.858,4358566.35
0.858,0.8631,0.81,0.8295,15155693.39
0.8295,0.8521,0.824,0.8407,4331289.72
0.8407,0.8647,0.8379,0.8603,2352878.53
0.8603,0.8669,0.847,0.8533,3152378.89
0.8533,0.8644,0.8325,0.8426,4699111.22
0.8426,0.8451,0.806,0.8216,9125970.78
0.8216,0.8266,0.8074,0.8213,2707267.34
0.8213,0.8232,0.8084,0.8181,1833629.31
0.8181,0.8349,0.812,0.8342,1530149.64
0.8342,0.8389,0.817,0.8298,2848225.49
0.8298,0.8318,0.8215,0.8237,1344097.16
0.8237,0.8258,0.8138,0.822,2038354.24
0.822,0.8297,0.8169,0.8267,1031812.65
0.8267,0.8276,0.8146,0.8169,757945.87
0.8169,0.8294,0.8162,0.825,798048.14
0.825,0.8318,0.8219,0.8243,1206965.47
0.8243,0.8265,0.8133,0.8148,1554535.16
0.8148,0.8218,0.8018,0.8036,2272350.52
0.8036,0.8138,0.8035,0.8081,1401513.31
0.8081,0.8082,0.7933,0.8007,3530326.21
0.8007,0.8143,0.7984,0.812,2611729.0
0.812,0.8239,0.8109,0.8185,1852595.23
0.8185,0.8251,0.8167,0.8172,1579285.38
0.8172,0.8232,0.8128,0.8168,1494038.28
0.8168,0.8189,0.8043,0.813,1244379.02
0.813,0.813,0.7935,0.8087,1259858.19
0.8087,0.8134,0.8053,0.8104,771557.99
0.8104,0.8232,0.8065,0.8202,859357.83
0.8202,0.8214,0.8125,0.8128,946043.6
0.8128,0.821,0.8126,0.8126,744992.3
0.8126,0.8137,0.8032,0.809,799222.1
0.809,0.8114,0.8009,0.8051,666218.74
0.8051,0.8168,0.7997,0.8123,828142.85
0.8123,0.8169,0.8045,0.8048,489183.61
0.8048,0.8077,0.794,0.7955,1609164.21
0.7955,0.8046,0.7939,0.8012,582440.52
0.8012,0.8046,0.7978,0.8001,1994108.91
0.8001,0.812,0.7993,0.8105,3106853.23
0.8105,0.8145,0.8028,0.809,1553412.85
0.809,0.8174,0.8082,0.8141,1545380.84
0.8141,0.8153,0.8068,0.808,1164723.51
0.808,0.8126,0.7996,0.8006,2405941.95
0.8006,0.8018,0.77,0.7748,7862211.96
0.7748,0.7829,0.7736,0.7808,1507938.5
0.7808,0.7809,0.7683,0.7776,1501688.72
0.7776,0.7799,0.7585,0.7591,3228470.62
0.7591,0.7731,0.758,0.7683,3693358.68
0.7683,0.7716,0.7508,0.7566,4015114.88
0.7566,0.7616,0.7348,0.7384,4327733.28
0.7384,0.7472,0.7237,0.7246,2798634.04
0.7246,0.739,0.711,0.7216,4382585.58
0.7216,0.735,0.718,0.7314,3185404.45
0.7314,0.7418,0.7287,0.7385,2338639.33
0.7385,0.7416,0.722,0.7254,1494176.47
0.7254,0.7259,0.71,0.7149,3861626.11
0.7149,0.7242,0.7091,0.7213,2717356.02
0.7213,0.7363,0.7024,0.732,5934756.42
0.732,0.7422,0.7224,0.7353,1865225.22
0.7353,0.7527,0.7332,0.7442,2321197.47
0.7442,0.747,0.7359,0.741,1525420.94
0.741,0.7501,0.7402,0.7454,2653677.36
0.7454,0.7484,0.7397,0.7409,1629467.28
0.7409,0.7427,0.7362,0.7399,1370291.18
0.7399,0.7478,0.7387,0.7458,1196132.61
0.7458,0.7472,0.7298,0.732,2173468.03
0.732,0.7785,0.7315,0.7488,6407605.36
0.7488,0.7514,0.7379,0.7445,1894482.06
0.7445,0.7601,0.7411,0.7569,3193863.33
0.7569,0.7629,0.7433,0.7493,2648807.47
0.7493,0.7511,0.715,0.7192,4044679.21
0.7192,0.7192,0.6853,0.6942,8313099.67
0.6942,0.7129,0.6905,0.701,2897189.52
0.701,0.7045,0.6851,0.6915,3213691.74
0.6915,0.6944,0.6709,0.6757,3542713.97
0.6757,0.6869,0.6588,0.6589,3343311.03
0.6589,0.6951,0.6584,0.6888,4009457.02
0.6888,0.6918,0.679,0.6867,1908725.02
0.6867,0.6932,0.6832,0.6873,1413587.91
0.6873,0.6895,0.6757,0.6816,974171.52
0.6816,0.6866,0.6688,0.6713,1120945.19
0.6713,0.6818,0.6467,0.6656,5198812.87
0.6656,0.6931,0.65,0.6926,4605395.8
0.6926,0.6985,0.6866,0.6938,1749516.64
0.6938,0.7047,0.6928,0.7014,2375777.85
0.7014,0.7145,0.6985,0.708,1732319.72
0.708,0.7267,0.7073,0.7219,2835084.13
0.7219,0.7334,0.7149,0.7158,3488747.09
0.7158,0.727,0.7154,0.7196,4799671.06
0.7196,0.7324,0.7167,0.7275,2102026.51
0.7275,0.7385,0.7251,0.73,4241317.72
0.73,0.7341,0.7269,0.7314,2345277.34
0.7314,0.7343,0.7243,0.731,2439326.04
0.731,0.7321,0.715,0.7169,2168493.21
0.7169,0.7349,0.7082,0.7186,5532970.28
0.7186,0.7244,0.6973,0.7034,6915315.73
0.7034,0.73,0.7013,0.7262,4698402.21
0.7262,0.7289,0.7156,0.719,1754635.84
0.719,0.7229,0.7077,0.7115,1331182.54
0.7115,0.7443,0.7114,0.7388,4415814.36
0.7388,0.7412,0.7273,0.7322,2768407.07
0.7322,0.733,0.724,0.7256,1258102.17
0.7256,0.7329,0.7255,0.7285,874926.07
0.7285,0.7345,0.7276,0.7322,983089.35
0.7322,0.7329,0.7195,0.7241,1014423.64
0.7241,0.7331,0.7207,0.7268,944922.19
0.7268,0.747,0.7258,0.7415,2710749.11
0.7415,0.7429,0.7235,0.7283,1734642.94
0.7283,0.7324,0.716,0.7167,1391976.1
0.7167,0.7188,0.7112,0.7168,867706.56
0.7168,0.7254,0.714,0.7242,998735.3
0.7242,0.7264,0.7143,0.7196,1037471.42
0.7196,0.7367,0.7191,0.7342,2281803.39
0.7342,0.7537,0.7329,0.7385,3753879.75
0.7385,0.7439,0.7279,0.7349,1965243.11
0.7349,0.7376,0.7279,0.7335,772342.95
0.7335,0.7435,0.7335,0.7422,979957.57
0.7422,0.7686,0.7374,0.7606,7412890.82
0.7606,0.7648,0.7321,0.7352,3680344.08
0.7352,0.738,0.7204,0.7241,2523294.32
0.7241,0.7314,0.7127,0.7298,3115039.1
0.7298,0.7358,0.7237,0.7248,1786921.68
0.7248,0.733,0.7173,0.7184,1789927.82
0.7184,0.7348,0.7173,0.7305,1301201.0
0.7305,0.7344,0.7266,0.7298,806616.32
0.7298,0.7309,0.7251,0.7296,1695363.8
0.7296,0.7352,0.7261,0.7289,1629734.53
0.7289,0.7344,0.7279,0.7325,1599449.94
0.7325,0.7369,0.7297,0.7359,2441311.93
0.7359,0.7385,0.729,0.7294,1900850.19
0.7294,0.7368,0.7254,0.7356,1314320.1
0.7356,0.7399,0.7278,0.7285,976017.16
0.7285,0.7325,0.724,0.7274,1397115.67
0.7274,0.7296,0.7176,0.7212,1459012.61
0.7212,0.7265,0.7192,0.7205,1039915.32
0.7205,0.7229,0.7142,0.7158,2211089.13
0.7158,0.7216,0.7152,0.7176,982707.96
0.7176,0.7194,0.7088,0.7145,1748303.46
0.7145,0.7337,0.7138,0.732,2604498.73
0.732,0.7325,0.7229,0.7259,1460910.55
0.7259,0.7285,0.7209,0.7283,1181468.18
0.7283,0.742,0.7213,0.7237,3263383.34
0.7237,0.7346,0.7104,0.7141,3511218.46
0.7141,0.7211,0.7117,0.7176,2818838.14
0.7176,0.7206,0.7027,0.7064,3154958.78
0.7064,0.7102,0.6996,0.7024,2119912.71
0.7024,0.7063,0.6958,0.6986,4874915.14
0.6986,0.7071,0.6979,0.7043,1589322.99
0.7043,0.7059,0.6959,0.6979,884383.05
0.6979,0.703,0.6915,0.6922,958629.98
0.6922,0.6984,0.6908,0.6982,1312678.11
0.6982,0.7081,0.6973,0.7079,875208.52
0.7079,0.71,0.7003,0.7028,1516689.6
0.7028,0.707,0.6967,0.7041,2227325.07
0.7041,0.7079,0.6996,0.7029,1046978.53
0.7029,0.7095,0.702,0.709,830935.53
0.709,0.7106,0.703,0.706,1712129.31
0.706,0.7101,0.7049,0.7088,711618.07
0.7088,0.7138,0.7054,0.7138,1120059.78
0.7138,0.7178,0.707,0.7102,1500701.66
0.7102,0.7147,0.7071,0.7115,1310055.34
0.7115,0.7202,0.7096,0.7183,1389984.18
0.7183,0.724,0.7179,0.7198,1506795.49
0.7198,0.7227,0.7158,0.7172,1229917.39
0.7172,0.7211,0.7169,0.719,502012.01
0.719,0.7221,0.7145,0.7196,1096010.15
0.7196,0.7298,0.7176,0.7261,2334830.59
0.7261,0.7334,0.7192,0.7305,4048771.62
0.7305,0.7513,0.7301,0.7397,4667221.23
0.7397,0.7447,0.7343,0.7434,2390247.79
0.7434,0.7456,0.7322,0.7336,1707086.07
0.7336,0.7391,0.7336,0.7364,774299.76
0.7364,0.7425,0.734,0.7366,775625.39
0.7366,0.7376,0.7286,0.7358,2427690.06
0.7358,0.738,0.7327,0.7375,981711.97
0.7375,0.747,0.7357,0.745,819328.57
0.745,0.7454,0.735,0.7375,1919150.06
0.7375,0.7454,0.7349,0.744,1020217.1
0.744,0.7465,0.7379,0.7404,512370.72
0.7404,0.7501,0.7396,0.7486,978145.44
0.7486,0.7542,0.7473,0.7491,1196210.7
0.7491,0.7575,0.7455,0.7534,1127419.53
0.7534,0.7537,0.7447,0.7447,776928.36
0.7447,0.7456,0.741,0.7422,698412.6
0.7422,0.7426,0.7315,0.7339,2169150.54
0.7339,0.7406,0.7308,0.7399,1582193.79
0.7399,0.7418,0.7362,0.7412,772183.34
0.7412,0.7435,0.7357,0.7405,924934.27
0.7405,0.744,0.7384,0.7434,876749.87
0.7434,0.7491,0.7425,0.744,1057190.42
0.744,0.7533,0.7435,0.7504,1795711.87
0.7504,0.7504,0.7431,0.7453,1570442.99
0.7453,0.7508,0.7453,0.7496,780116.72
0.7496,0.754,0.7474,0.7502,1072399.8
0.7502,0.7561,0.7495,0.7523,849879.65
0.7523,0.7537,0.7456,0.7483,897441.65
0.7483,0.7488,0.7439,0.7487,924415.3
0.7487,0.7548,0.7487,0.7522,845599.04
0.7522,0.76,0.7521,0.7567,918882.3
0.7567,0.7573,0.749,0.75,921068.31
0.75,0.7525,0.7466,0.7467,491230.01
0.7467,0.7473,0.7405,0.7441,893796.61
0.7441,0.746,0.7364,0.7368,783554.36
0.7368,0.739,0.7332,0.7361,1207546.56
0.7361,0.7436,0.7352,0.7425,582943.44
0.7425,0.7431,0.7396,0.7417,499198.69
0.7417,0.7448,0.7412,0.744,352324.11
0.744,0.7442,0.7398,0.7398,289621.27
0.7398,0.7412,0.7355,0.7392,1076836.59
0.7392,0.7408,0.7333,0.7352,1815967.14
0.7352,0.7355,0.7252,0.7275,1309989.55
0.7275,0.7296,0.7228,0.7236,789681.75
0.7236,0.7238,0.7042,0.7058,2211822.08
0.7058,0.7128,0.7052,0.7068,1634236.77
0.7068,0.7113,0.6974,0.698,1957183.21
0.698,0.7063,0.6969,0.7063,2447118.66
0.7063,0.7071,0.6994,0.7046,1460923.94
0.7046,0.7167,0.7022,0.7041,3210426.22
0.7041,0.7093,0.7008,0.7061,945309.37
0.7061,0.7096,0.7021,0.707,1146972.98
0.707,0.7077,0.6938,0.6992,2314087.71
0.6992,0.7029,0.6985,0.7027,774448.57
0.7027,0.7035,0.6997,0.7012,417434.42
0.7012,0.7065,0.6954,0.6998,1193406.3
0.6998,0.7078,0.6973,0.7051,877401.2
0.7051,0.7154,0.7041,0.7148,1000305.97
0.7148,0.7198,0.7107,0.7135,1897858.47
0.7135,0.7154,0.7105,0.713,543129.83
0.713,0.7172,0.7122,0.7155,1046476.46
0.7155,0.7192,0.7127,0.7142,878265.55
0.7142,0.7169,0.7105,0.7106,977663.86
0.7106,0.7146,0.7026,0.7136,1535813.09
0.7136,0.7234,0.7133,0.7207,2333510.6
0.7207,0.7285,0.7179,0.727,1860241.81
0.727,0.7295,0.7232,0.7256,1433164.2
0.7256,0.7267,0.72,0.7213,1218840.49
0.7213,0.7275,0.719,0.7238,1595367.48
0.7238,0.7298,0.7183,0.7188,2716773.88
0.7188,0.7257,0.7153,0.7184,1701067.73
0.7184,0.7235,0.7134,0.7185,1458091.87
