open,high,low,close,volume
571.52,572.78,553.0,555.35,1711.767
555.35,562.49,546.26,558.63,1176.55147
558.63,564.5,556.75,560.64,304.63476
560.64,562.56,558.94,560.0,532.56046
560.0,567.0,559.47,566.56,320.83841
566.56,567.96,562.2,564.19,220.17179
564.19,565.62,561.55,564.72,297.07615
564.72,568.51,563.41,567.75,245.25641
567.75,568.38,564.46,566.67,514.47954
566.67,570.55,565.9,569.06,409.7714
569.06,572.18,568.14,571.13,497.50212
571.13,572.2,567.66,570.46,917.97639
570.46,570.82,563.27,564.59,740.4763
564.59,579.52,562.73,567.02,1326.77736
567.02,571.8,562.04,570.94,1004.8923
570.94,571.82,555.11,568.94,1327.3547
568.94,576.69,568.19,574.81,864.30918
574.81,581.28,574.17,580.93,602.39148
580.93,583.54,579.1,583.5,412.35009
583.5,585.62,579.03,579.42,742.60014
579.42,588.62,578.46,584.8,492.82415
584.8,586.6,583.41,583.59,297.0102
583.59,584.82,581.66,584.14,233.1529
584.14,584.73,580.65,583.26,145.56873
583.26,590.32,581.73,590.32,508.4004
590.32,591.84,588.2,588.42,196.7257
588.42,590.72,585.57,585.9,187.45319
585.9,590.04,585.57,589.08,109.96761
589.08,590.85,588.88,590.41,116.86693
590.41,592.53,589.29,592.2,205.03393
592.2,593.74,590.96,593.19,469.87624
593.19,600.14,593.11,597.74,764.95033
597.74,604.58,597.11,600.69,909.00058
600.69,605.72,598.77,602.12,418.60487
602.12,603.43,597.6,598.62,470.89801
598.62,599.65,596.13,598.12,434.08834
598.12,598.57,593.82,595.14,753.60715
595.14,595.22,589.82,590.78,649.9269
590.78,594.45,589.41,590.91,326.89881
590.91,593.31,587.52,592.02,629.37385
592.02,594.81,590.96,592.93,606.05639
592.93,595.05,590.27,594.88,407.30408
594.88,597.23,594.14,594.94,368.2677
594.94,597.14,594.9,596.71,196.65018
596.71,597.19,594.52,596.36,295.61457
596.36,598.11,595.83,597.47,332.95613
597.47,599.06,596.93,598.18,272.32397
598.18,599.52,597.05,597.24,246.9777
597.24,605.79,596.73,602.31,342.0688
602.31,605.52,600.68,602.46,286.70613
602.46,603.43,600.37,601.72,187.90685
601.72,605.8,601.72,605.56,611.03365
605.56,611.72,604.9,611.67,894.30227
611.67,612.33,604.51,605.73,1134.99626
605.73,607.85,603.64,604.65,382.86614
604.65,606.03,602.52,604.15,473.9601
604.15,604.25,599.87,600.23,390.52389
600.23,604.41,599.69,602.32,1137.2111
602.32,604.41,601.74,603.77,289.93543
603.77,604.14,600.04,601.11,280.29207
601.11,601.8,597.28,597.64,515.10936
597.64,600.4,594.09,596.96,715.41189
596.96,603.23,596.55,600.19,445.55425
600.19,601.26,594.25,594.4,549.41912
594.4,594.97,589.33,592.16,311.91134
592.16,593.35,590.9,593.14,200.6172
593.14,596.03,590.69,593.48,222.4192
593.48,596.29,593.14,595.31,184.48437
595.31,598.58,595.05,597.93,212.61052
597.93,601.47,597.6,598.58,345.04794
598.58,599.65,596.33,596.48,114.74238
596.48,600.28,577.17,580.04,1337.55054
580.04,595.7,578.59,593.03,676.30314
593.03,597.72,591.77,593.89,337.82747
593.89,596.07,593.56,593.69,197.70671
593.69,597.6,593.55,596.86,369.19747
596.86,602.84,596.83,601.59,798.3229
601.59,603.33,599.9,601.44,390.04654
601.44,603.33,598.58,599.37,179.82007
599.37,600.21,598.09,599.7,176.81819
599.7,602.73,599.53,600.06,299.17033
600.06,601.8,599.65,601.45,132.86739
601.45,602.64,599.14,599.63,222.78344
599.63,601.0,597.61,599.0,231.56777
599.0,606.24,599.0,601.48,769.66268
601.48,608.43,599.76,606.02,587.50695
606.02,610.33,600.62,604.2,1556.62357
604.2,606.25,597.11,600.66,984.14784
600.66,602.96,597.6,600.45,293.42663
600.45,604.8,598.77,603.82,297.65544
603.82,605.29,599.26,600.01,302.10677
600.01,601.7,595.7,597.24,327.19376
597.24,598.35,590.82,593.39,608.81379
593.39,595.7,590.52,595.09,169.15106
595.09,595.09,590.15,594.82,98.70156
594.82,597.2,593.07,596.59,181.24962
596.59,597.36,590.15,594.54,474.04281
594.54,595.96,594.14,595.68,212.10306
595.68,597.1,592.88,596.39,74.21609
596.39,600.0,595.67,599.55,110.43587
599.55,599.55,596.06,597.99,399.25992
597.99,599.9,596.68,597.57,326.08225
597.57,598.73,596.25,597.12,92.65029
597.12,598.0,595.68,595.85,280.78882
595.85,598.76,595.09,595.4,310.89903
595.4,597.33,595.12,597.23,453.8075
597.23,597.27,592.61,594.33,205.15584
594.33,597.77,593.27,596.5,204.77682
596.5,599.03,596.38,597.52,217.30069
597.52,599.39,597.08,597.53,181.712
597.53,599.95,596.82,599.82,451.26299
599.82,599.99,595.62,599.35,374.41948
599.35,602.7,597.58,600.92,386.11303
600.92,601.66,599.97,600.32,172.61136
600.32,600.55,598.14,598.39,168.56692
598.39,598.97,597.09,597.09,80.80227
597.09,597.84,596.46,596.76,98.72928
596.76,596.76,594.04,595.55,262.47061
595.55,595.89,593.04,593.11,152.95377
593.11,593.11,591.94,592.3,149.64798
592.3,593.08,588.29,589.04,151.63121
589.04,589.92,587.62,587.73,161.66292
587.73,589.18,586.58,588.4,126.84268
588.4,588.66,586.97,588.15,74.70303
588.15,588.73,586.06,586.5,169.73099
586.5,586.57,583.8,584.68,183.08727
584.68,586.13,584.01,585.96,812.43744
585.96,586.39,583.46,583.46,293.39128
583.46,585.05,582.72,583.54,297.3084
583.54,584.59,576.59,576.59,345.78718
576.59,578.61,575.42,578.31,209.53375
578.31,578.83,575.16,578.2,371.70482
578.2,578.76,568.88,569.07,633.45441
569.07,571.18,568.04,571.17,453.21762
571.17,573.53,566.02,566.7,328.17915
566.7,570.6,559.65,559.86,806.11827
559.86,561.78,551.67,552.06,922.01074
552.06,558.5,549.95,554.96,977.52986
554.96,561.67,554.96,560.35,694.07289
560.35,563.19,559.36,559.9,444.41642
559.9,560.53,554.6,556.36,411.09101
556.36,557.11,552.59,554.01,333.68269
554.01,556.82,550.01,554.22,393.40217
554.22,560.68,549.91,558.86,699.61908
558.86,563.05,557.61,558.84,408.36658
558.84,562.77,556.23,557.21,732.61314
557.21,561.55,557.12,560.44,437.65482
560.44,563.95,560.27,563.44,344.55417
563.44,564.79,562.67,563.64,460.77402
563.64,565.24,562.96,564.47,408.06289
564.47,566.76,563.37,564.35,233.79844
564.35,565.07,558.62,559.34,443.20842
559.34,573.3,559.08,563.46,732.55456
563.46,566.31,561.9,563.21,516.08829
563.21,568.43,562.15,567.2,446.85873
567.2,569.81,564.04,566.48,443.00826
566.48,567.05,556.39,557.19,503.85854
557.19,557.57,541.45,545.35,1744.99591
545.35,554.87,543.86,550.17,671.61327
550.17,551.01,544.69,546.44,1250.09121
546.44,547.3,532.85,535.38,1618.5487
535.38,541.84,525.12,525.83,1133.66608
525.83,539.07,522.98,537.81,1405.67309
537.81,538.71,533.03,536.23,366.80626
536.23,541.3,534.88,538.94,491.10021
538.94,539.93,533.5,533.95,653.45293
533.95,536.68,530.72,531.39,424.0675
531.39,536.25,506.71,518.24,2201.87877
518.24,531.18,509.43,531.18,1506.89973
531.18,536.1,530.0,534.57,521.40529
534.57,538.71,532.61,533.0,423.28182
533.0,538.05,532.29,535.44,537.60372
535.44,540.91,535.17,539.22,484.62851
539.22,542.34,539.04,539.55,481.92766
539.55,558.33,539.55,557.77,2255.54293
557.77,562.82,552.13,562.28,3345.0001
562.28,564.75,559.19,562.85,2665.64022
562.85,565.99,555.03,555.07,5192.13597
555.07,557.81,546.41,547.83,4313.00275
547.83,550.94,544.49,545.96,1582.76424
545.96,554.38,543.45,547.0,1616.19905
547.0,550.82,537.17,542.89,1096.70485
542.89,549.88,542.8,548.75,963.9415
548.75,553.27,546.54,550.18,556.1379
550.18,550.87,545.22,549.05,895.89134
549.05,561.0,549.05,557.61,1368.939
557.61,557.65,555.28,555.8,381.66882
555.8,556.54,554.36,555.75,268.12147
555.75,556.55,554.17,555.39,427.55463
555.39,557.49,555.21,556.9,270.97299
556.9,557.12,551.16,551.78,403.47965
551.78,553.66,550.38,552.13,301.56743
552.13,557.03,551.47,555.05,340.09415
555.05,555.05,548.85,549.24,304.85712
549.24,550.24,546.42,546.72,522.22462
546.72,548.25,544.46,547.73,683.04821
547.73,553.03,546.58,552.17,513.14174
552.17,553.81,549.93,551.86,492.36503
551.86,556.33,551.86,555.66,1187.31739
555.66,558.69,554.17,557.84,529.02101
557.84,559.85,554.63,558.64,510.59326
558.64,559.41,556.57,557.37,413.44903
557.37,560.25,557.37,559.01,267.61953
559.01,564.27,558.06,562.58,990.70996
562.58,562.85,553.1,554.9,688.84491
554.9,574.62,553.83,559.96,5644.8262
559.96,560.61,548.2,552.29,2012.23654
552.29,558.63,551.32,558.02,699.82701
558.02,561.48,556.53,556.85,546.97307
556.85,561.98,556.78,561.82,338.18678
561.82,567.69,561.82,566.53,622.94143
566.53,569.85,566.18,568.92,417.91837
568.92,573.9,568.92,571.2,576.40437
571.2,575.16,571.2,572.68,759.85868
572.68,573.13,568.24,569.84,283.65142
569.84,570.8,567.86,567.86,294.85115
567.86,574.87,567.86,574.73,559.11311
574.73,575.2,572.39,574.49,517.05791
574.49,577.57,572.56,577.12,450.3296
577.12,582.1,576.83,580.16,783.66855
580.16,580.84,573.89,575.52,358.65669
575.52,579.67,574.55,578.62,378.80321
578.62,579.1,576.31,578.11,483.01361
578.11,581.53,573.08,575.85,657.84364
575.85,580.11,575.81,579.51,582.56728
579.51,582.83,578.66,581.11,492.72636
581.11,581.99,577.7,578.68,513.74617
578.68,583.38,576.46,577.95,510.58877
577.95,613.39,577.95,584.19,15764.437
584.19,596.28,576.8,579.33,4060.29303
579.33,583.43,576.07,581.38,1332.02612
581.38,583.45,576.7,580.35,1276.77859
580.35,581.74,571.74,572.15,1309.97591
572.15,578.98,572.15,578.52,648.45994
578.52,579.89,575.24,577.13,890.77486
577.13,579.19,573.17,573.45,754.51035
573.45,575.57,571.24,574.13,416.24047
574.13,577.39,573.59,577.39,354.71452
577.39,579.76,577.02,579.76,258.45719
579.76,583.66,577.76,582.45,421.93629
582.45,582.45,579.63,581.97,374.78676
581.97,584.65,580.81,581.87,380.85493
581.87,583.04,580.39,582.84,171.86947
582.84,586.83,582.53,585.16,262.5562
585.16,585.16,582.28,582.4,159.52604
582.4,582.62,580.02,581.11,384.64746
581.11,581.68,576.69,576.75,866.74602
576.75,579.59,576.75,578.55,378.81667
578.55,581.35,578.51,579.66,401.4252
579.66,580.78,578.24,579.49,304.93214
579.49,580.61,577.8,578.59,336.7778
578.59,579.91,577.72,578.12,314.80278
578.12,585.48,577.75,582.55,432.01388
582.55,585.62,580.34,583.82,816.36308
583.82,588.74,583.82,584.74,879.63289
584.74,587.73,583.34,585.98,337.39197
585.98,586.12,581.95,584.26,367.22891
584.26,586.24,583.94,585.46,135.17703
585.46,589.47,585.32,588.52,258.8224
588.52,589.75,585.14,586.01,337.02831
586.01,586.45,584.96,586.0,221.63821
586.0,588.11,586.0,587.95,91.7142
587.95,588.87,586.48,587.84,150.71947
587.84,591.13,587.68,591.11,150.28917
591.11,594.65,590.45,593.62,459.09754
593.62,594.39,591.54,592.12,258.60466
592.12,593.71,591.49,593.15,203.30813
593.15,595.26,592.21,594.6,368.17039
594.6,594.78,592.24,593.75,59.04308
593.75,594.91,593.55,594.4,115.2933
594.4,594.4,589.69,590.85,207.62382
590.85,594.1,590.85,593.58,252.42723
593.58,597.49,593.45,596.97,201.0745
596.97,598.0,595.27,597.61,198.03831
597.61,597.72,595.46,596.05,268.89003
596.05,598.09,595.54,597.0,142.65951
597.0,599.9,596.74,599.46,219.3782
599.46,600.17,596.11,596.38,392.4971
596.38,603.54,596.38,603.17,224.84117
603.17,608.99,602.17,608.32,511.3311
608.32,616.66,608.21,613.08,1005.41308
613.08,614.56,610.74,611.75,935.39251
611.75,613.79,610.82,611.66,282.94268
611.66,615.46,611.54,615.46,276.5766
615.46,619.54,615.46,618.26,239.54706
618.26,618.73,615.66,615.91,217.33652
615.91,619.91,615.79,619.82,399.72293
619.82,622.95,617.84,618.99,260.39907
618.99,619.26,611.46,612.43,401.67293
612.43,614.89,610.91,611.36,317.33112
611.36,611.83,606.46,609.42,438.55739
609.42,609.45,606.73,608.14,134.00813
608.14,609.79,606.95,609.19,132.70174
