open,high,low,close,volume
2.3607,2.3704,2.2432,2.28,14740069.22
2.28,2.3103,2.2114,2.2899,12665149.55
2.2899,2.3267,2.2735,2.2977,4155049.29
2.2977,2.3171,2.2876,2.292,4018619.98
2.292,2.3764,2.2877,2.3587,9153950.79
2.3587,2.3693,2.3134,2.3227,3560483.3
2.3227,2.3387,2.306,2.3203,3468613.56
2.3203,2.3734,2.3014,2.361,4217757.34
2.361,2.3843,2.3368,2.3552,2617852.14
2.3552,2.4074,2.3421,2.3923,4434705.45
2.3923,2.4137,2.3567,2.3598,4240235.42
2.3598,2.3656,2.334,2.3505,2703752.43
2.3505,2.3505,2.292,2.2991,4577920.57
2.2991,2.5258,2.2882,2.3663,25546261.07
2.3663,2.4147,2.3092,2.4031,12637087.62
2.4031,2.4099,2.3113,2.3923,9622528.93
2.3923,2.4949,2.3758,2.4471,9446786.38
2.4471,2.495,2.4283,2.4934,5917087.35
2.4934,2.52,2.4725,2.4941,7440952.31
2.4941,2.5059,2.435,2.4382,3305241.04
2.4382,2.5381,2.4272,2.4742,5863506.44
2.4742,2.4895,2.4478,2.4502,2618509.54
2.4502,2.4708,2.4495,2.4544,1570426.37
2.4544,2.4743,2.4343,2.4453,2044462.31
2.4453,2.4959,2.4329,2.4958,2307241.31
2.4958,2.54,2.4792,2.5079,2632124.36
2.5079,2.5241,2.4379,2.4385,2084281.17
2.4385,2.4596,2.4317,2.4523,4222894.62
2.4523,2.4569,2.4306,2.4322,1282426.83
2.4322,2.448,2.4082,2.443,1927646.05
2.443,2.4548,2.4317,2.4476,1579253.24
2.4476,2.4957,2.4451,2.4834,3187228.19
2.4834,2.5146,2.4771,2.4909,3430770.47
2.4909,2.5398,2.4871,2.5134,6761753.08
2.5134,2.5154,2.4686,2.4796,3555095.24
2.4796,2.5076,2.4672,2.4864,3258622.84
2.4864,2.4981,2.4474,2.4685,3448337.48
2.4685,2.4967,2.4487,2.4529,3772754.97
2.4529,2.4898,2.4176,2.4479,5392189.28
2.4479,2.4801,2.4243,2.4669,2650368.77
2.4669,2.5075,2.4614,2.4886,3377972.78
2.4886,2.5052,2.4678,2.5017,1858850.77
2.5017,2.5168,2.4937,2.4961,1436824.12
2.4961,2.5135,2.4889,2.5038,1085267.89
2.5038,2.5119,2.488,2.4993,907990.49
2.4993,2.5117,2.4934,2.5082,715814.91
2.5082,2.5146,2.496,2.4997,881808.45
2.4997,2.5099,2.4706,2.4743,1712863.1
2.4743,2.5478,2.4739,2.5149,2607348.46
2.5149,2.5279,2.4999,2.5226,1831379.39
2.5226,2.5313,2.5082,2.5131,1356354.18
2.5131,2.5353,2.5054,2.5301,1329426.0
2.5301,2.5542,2.5165,2.5246,3366517.13
2.5246,2.526,2.5006,2.5021,2768802.01
2.5021,2.5176,2.5002,2.512,2066780.47
2.512,2.5921,2.51,2.5649,4786860.15
2.5649,2.5915,2.5359,2.5733,3613992.07
2.5733,2.6455,2.5684,2.631,5344778.97
2.631,2.6411,2.6065,2.6111,2420551.27
2.6111,2.6172,2.5665,2.5797,3390698.67
2.5797,2.6257,2.5714,2.5917,2479046.3
2.5917,2.6152,2.5466,2.5818,3719010.24
2.5818,2.6393,2.5765,2.622,3005707.14
2.622,2.6395,2.5687,2.5748,4999457.17
2.5748,2.5822,2.5278,2.5502,2985562.43
2.5502,2.5832,2.5493,2.5672,2181931.8
2.5672,2.6111,2.5499,2.5842,2329049.27
2.5842,2.6111,2.579,2.5974,1410348.4
2.5974,2.6211,2.5931,2.605,1728332.72
2.605,2.6258,2.5751,2.5941,2940963.88
2.5941,2.6139,2.5792,2.5998,1403810.85
2.5998,2.6213,2.374,2.4087,24781522.26
2.4087,2.5037,2.3906,2.4857,9712436.08
2.4857,2.5246,2.4574,2.4845,3182181.0
2.4845,2.5006,2.468,2.4707,1649287.85
2.4707,2.4974,2.4671,2.4835,1400122.07
2.4835,2.5185,2.4818,2.5055,2461048.15
2.5055,2.5061,2.4827,2.4873,2427927.98
2.4873,2.509,2.4822,2.5062,2123039.48
2.5062,2.5159,2.4933,2.5154,1673965.93
2.5154,2.5694,2.512,2.54,3512567.7
2.54,2.5515,2.5313,2.541,3473682.95
2.541,2.5552,2.5199,2.5298,3217648.94
2.5298,2.5418,2.497,2.5108,3774814.46
2.5108,2.5562,2.5048,2.5122,6855080.22
2.5122,2.5561,2.49,2.5325,6974139.1
2.5325,2.5548,2.4824,2.5023,5992029.38
2.5023,2.5103,2.384,2.4328,15409138.75
2.4328,2.4756,2.3982,2.4462,6482004.06
2.4462,2.518,2.4369,2.5074,4644053.08
2.5074,2.5233,2.4592,2.4824,3470418.93
2.4824,2.5332,2.4424,2.4677,6765170.07
2.4677,2.4707,2.3756,2.397,11211851.94
2.397,2.4031,2.3437,2.3969,4882422.96
2.3969,2.3969,2.3562,2.3853,3483395.54
2.3853,2.41,2.3678,2.4053,2973392.56
2.4053,2.4084,2.3386,2.3674,2689225.98
2.3674,2.373,2.3558,2.3603,2014498.59
2.3603,2.3607,2.327,2.3431,2456436.31
2.3431,2.3755,2.3318,2.3683,1557791.09
2.3683,2.3694,2.3397,2.3489,1435726.23
2.3489,2.3627,2.3473,2.3592,2190972.58
2.3592,2.3747,2.3571,2.3628,2446211.65
2.3628,2.3689,2.3376,2.3411,2260563.06
2.3411,2.3621,2.3202,2.3303,3194389.02
2.3303,2.3499,2.33,2.3403,2591714.26
2.3403,2.341,2.302,2.3164,5054025.84
2.3164,2.3434,2.3063,2.3345,4151511.55
2.3345,2.3574,2.3313,2.348,3097643.84
2.348,2.366,2.3427,2.3509,2847773.18
2.3509,2.366,2.3369,2.3518,2688863.0
2.3518,2.3558,2.3129,2.3362,2877942.25
2.3362,2.353,2.3108,2.3484,2321583.45
2.3484,2.3553,2.3302,2.339,1355616.86
2.339,2.3605,2.328,2.3558,1289036.0
2.3558,2.3588,2.3393,2.3462,1075655.88
2.3462,2.3633,2.3451,2.3497,1239297.33
2.3497,2.3531,2.3275,2.3429,1673168.06
2.3429,2.3452,2.3136,2.3256,1513518.82
2.3256,2.3498,2.3146,2.3432,1366642.45
2.3432,2.3513,2.3216,2.3259,1043365.88
2.3259,2.3333,2.3102,2.3117,1821534.55
2.3117,2.3308,2.3048,2.3227,1267352.56
2.3227,2.3318,2.3178,2.3297,801017.16
2.3297,2.3432,2.3241,2.3334,1082951.75
2.3334,2.3337,2.3108,2.3207,1162727.35
